#
# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/download/LicenseRegulonDBRegistration.jsp
#
# Citation
#
#      Salgado, H. et al. (2013). "RegulonDB v8.0: Omics data sets, evolutionary conservation, 
#      regulatory phrases, cross-validated gold standards and more".
#      Nucleic Acids Research 2012 Nov; doi: 10.1093/nar/gks1201
#
#
# Contact
#
#     Questions concerning the content of the dataset by users of RegulonDB will be forwarded to this person.   
#     We appreciate to receive copy of the responses to users, so we can keep track of taking care of users requests.
#
#     Person: Dr. Enrique Morett S‡nchez
#     Email address: emorett@ibt.unam.mx
#
# ___________________________________________________________________________
# Columns:
# 1)	TSS left position
# 2)	TSS right position: This value is the same as in column one for single position TSSs and higher that one for cluster TSSs
# 3)	TSS position Max frequency: This value is the Position within the cluster with the highest frequency.
# 4)	TSS length: 1 for single position TSSs and more than one for cluster TSSs.
# 5)	Number of reads: For cluster TSSs the accumulated number of reads for all its positions is given.
# 6)	Orientation (strand)
# 7)	Gene name
# 8)	Blattner number
# 9)	Left end position for gene
# 10)	Right end position for gene
# 11)	Relative orientation to gene:  Upsense, InSense, UpAntiSense, InAntiSense, Convergent, UpSenseExten or UpAntiSenseExten.
#
2310676	2310676	2310676	1	3092254	forward	ompC	b2215	2309668	2310771	InAntiSense
3717908	3717914	3717912	7	3380643	forward	cspA	b3556	3718072	3718284	UpSenseExten
784812	784818	784815	7	2327842	forward	aroG	b0754	784856	785908	UpSense
4049057	4049063	4049059	7	1754833	forward	csrC	b4457	4049059	4049303	UpSense
781224	781229	781226	6	1155544	forward	nadA	b0750	781308	782351	UpSense
2547957	2547957	2547957	1	620711	forward	yfeX	b2431	2547668	2548567	InAntiSense
781231	781239	781237	9	896794	forward	nadA	b0750	781308	782351	UpSense
458035	458043	458037	9	846140	forward	lon	b0439	458112	460466	UpSense
3438278	3438278	3438278	1	381216	forward	rpoA	b3295	3438062	3439051	InAntiSense
3783249	3783256	3783250	8	597198	forward	gpmM	b3612	3783283	3784827	UpSense
2735403	2735403	2735403	1	309057	forward	raiA	b2597	2735176	2735517	InSense
1860757	1860760	1860759	4	304286	forward	gapA	b1779	1860795	1861790	UpSense
3783260	3783263	3783260	4	300705	forward	gpmM	b3612	3783283	3784827	UpSense
705282	705286	705286	5	356169	forward	glnS	b0680	705316	706980	UpSense
197487	197497	197495	11	391899	forward	rseP	b0176	196546	197898	InSense
4197503	4197504	4197503	2	213645	forward	yjaG	b3999	4197527	4198117	UpSense
2969587	2969589	2969587	3	256042	forward	tas	b2834	2969619	2970659	UpSense
2088014	2088020	2088018	7	523764	forward	hisL	b2018	2088020	2088070	UpSense
3053509	3053514	3053511	6	217959	forward	zapA	b2910	3053634	3053963	UpSense
784820	784822	784821	3	278876	forward	aroG	b0754	784856	785908	UpSense
760667	760673	760671	7	204180	forward	sucB	b0727	760745	761962	UpSense
1755407	1755409	1755407	3	169383	forward	lpp	b1677	1755445	1755681	UpSense
3886434	3886434	3886434	1	149916	forward	tnaC	b3707	3886458	3886532	UpSense
2531713	2531714	2531713	2	121405	forward	ptsH	b2415	2531786	2532043	UpSense
2940718	2940718	2940718	1	109720	forward	gcvB	b4443	2940718	2940922	UpSense
4175269	4175269	4175269	1	105558	forward	secE	b3981	4175381	4175764	UpSense
2735145	2735146	2735146	2	99632	forward	raiA	b2597	2735176	2735517	UpSense
1891360	1891362	1891360	3	93505	forward	yoaB	b1809	1891391	1891735	UpSense
13052	13055	13052	4	78781	forward	dnaK	b0014	12163	14079	InSense
4173892	4173894	4173892	3	80568	forward	tufB	b3980	4173967	4175151	UpSense
92485	92485	92485	1	66312	forward	ftsI	b0084	91413	93179	InSense
3447932	3447932	3447932	1	64737	forward	rpsC	b3314	3447204	3447905	UpAntiSense
3891875	3891875	3891875	1	63667	forward	yieE	b3712	3891892	3892653	UpSense
1306785	1306789	1306787	5	67203	forward	yciY	b4595	1306812	1306985	UpSense
3984454	3984455	3984455	2	58849	forward	glmZ	b4456	3984455	3984626	UpSense
922434	922434	922434	1	57211	forward	clpA	b0882	922487	924763	UpSense
1299476	1299484	1299484	9	193764	forward	oppA	b1243	1299206	1300837	InSense
2623036	2623037	2623036	2	57115	forward	ppx	b2502	2623137	2624678	UpSense
4402681	4402688	4402683	8	139070	forward	purA	b4177	4402710	4404008	UpSense
2087989	2087989	2087989	1	54262	forward	hisL	b2018	2088020	2088070	UpSense
236020	236022	236021	3	58642	forward	dnaQ	b0215	236067	236798	UpSense
2627274	2627274	2627274	1	52517	forward	yfgG	b2504	2627312	2627503	UpSense
3439102	3439102	3439102	1	52494	forward	rpoA	b3295	3438062	3439051	UpAntiSense
433735	433736	433735	2	54504	forward	ribE	b0415	433871	434341	UpSense
849640	849642	849640	3	65076	forward	ompX	b0814	849673	850188	UpSense
2094649	2094649	2094649	1	46895	forward	hisI	b2026	2094638	2095249	UpSense
460619	460620	460619	2	47082	forward	hupB	b0440	460675	460947	UpSense
94681	94684	94683	4	56078	forward	murF	b0086	94650	96008	UpSense
475672	475672	475672	1	45734	forward	ffs	b0455	475672	475785	UpSense
